budget,trial,model,k,accuracy,DP_gap,EO_gap,EqOdds_gap
500,0,LR,2,0.9143,0.0009054035647368302,0.004036281179138322,0.004036281179138322
500,1,LR,2,0.9063,0.0005350289007044068,0.004813790860302489,0.004813790860302489
500,2,LR,2,0.9045,0.001114159388554697,0.01009563665165325,0.01009563665165325
500,3,LR,2,0.909,0.0007245862612448289,0.0011758382046630385,0.0011758382046630385
500,4,LR,2,0.8931,0.00019976830925483996,0.015043111355714548,0.015043111355714548
500,5,LR,2,0.9079,0.0029798513991721176,6.096371439719139e-05,0.0031219871640118142
500,6,LR,2,0.891,0.0008167977900657916,0.006216722864723391,0.006216722864723391
500,7,LR,2,0.8873,0.009697148738049693,0.02386675073822738,0.02386675073822738
500,8,LR,2,0.9084,0.003881506077503571,0.0021336603310852242,0.004318084068779305
500,9,LR,2,0.9157,0.0002673847077983814,0.006586528471308301,0.006586528471308301
1000,0,LR,2,0.8659,0.0074631754761825195,0.005300270850845237,0.007138760873948824
1000,1,LR,2,0.8819,0.003414555400826677,0.03225028501271595,0.03225028501271595
1000,2,LR,2,0.8576,0.004963666295292421,0.009650138611081868,0.009650138611081868
1000,3,LR,2,0.8644,0.0034075016425593047,0.013103942298191874,0.013103942298191874
1000,4,LR,2,0.8624,0.005379005667563053,0.007841899386017037,0.007841899386017037
1000,5,LR,2,0.8685,0.0032243499256175215,0.00498854221752159,0.00498854221752159
1000,6,LR,2,0.836,0.007611723650178509,0.0013294870186880692,0.007747217388262312
1000,7,LR,2,0.8526,0.0018100963654378438,0.028909013463710942,0.028909013463710942
1000,8,LR,2,0.8765,0.01093095165544248,0.02739307535641547,0.02739307535641547
1000,9,LR,2,0.8699,0.0025373185326759695,0.021702122212835684,0.021702122212835684
2000,0,LR,2,0.834,0.009238921405868808,0.011051844552282843,0.011051844552282843
2000,1,LR,2,0.8301,0.008809655723179197,0.009481087529201251,0.009481087529201251
2000,2,LR,2,0.8353,0.00041560648221850016,0.006476425561622659,0.006476425561622659
2000,3,LR,2,0.8359,0.004584579142883016,0.01361190250079139,0.01361190250079139
2000,4,LR,2,0.83,0.0013368960834027888,0.013295994447037413,0.013295994447037413
2000,5,LR,2,0.827,0.010744488310525324,0.014996695643332822,0.014996695643332822
2000,6,LR,2,0.8241,0.0053957996723429935,0.023494764397905765,0.023494764397905765
2000,7,LR,2,0.8331,0.010187934144920946,0.015858483471209495,0.015858483471209495
2000,8,LR,2,0.8383,0.008658518902911819,0.028511530398322854,0.028511530398322854
2000,9,LR,2,0.8263,0.0028519997972530076,0.0169023168757588,0.0169023168757588
4000,0,LR,2,0.8994,0.0023735512256346583,0.019794905225152943,0.019794905225152943
4000,1,LR,2,0.89,0.002819765279673713,0.015258769859996857,0.015258769859996857
4000,2,LR,2,0.8939,0.003273964323440709,0.0019524617996604446,0.004349639204443919
4000,3,LR,2,0.8922,0.0011461096317835762,0.016540583726562308,0.016540583726562308
4000,4,LR,2,0.8899,0.00798432647915271,0.01970449315732106,0.01970449315732106
4000,5,LR,2,0.8917,0.0007702192594583671,0.016075085737830078,0.016075085737830078
4000,6,LR,2,0.8924,0.003179343402481237,0.007739463601532569,0.007739463601532569
4000,7,LR,2,0.8931,0.0027511286681715583,0.009852023393649177,0.009852023393649177
4000,8,LR,2,0.8885,0.0038288439067140564,0.013380558835104289,0.013380558835104289
4000,9,LR,2,0.8985,0.006291911180504463,0.004945837202104612,0.007672748672158572
